3aad68d1-1a02-4f9e-803f-96c377ea5d7a,2,,1,6,,6104009987,11025,,,Cherkouba El Maouloud Yassar,شركوبه المولود يصار,,Riyad,2005-10-10,,officiel,,,4.24,,Ajourné,,,,,true,true,,0,0,2025-07-01 14:51:08.177102,2025-07-01 15:57:54.832408
81fb6061-c0d2-4615-8454-202a7624953e,1,,,8,,12345678901,BAC20240001,,,Candidat Test 01,مرشح تجريبي 01,,Nouakchott,2005-01-11,F,officiel,,,16.77,,Passable,Bien,36,25,961,true,true,2025-06-29 23:25:54.969641,0,0,2025-06-29 23:25:54.956330,
7644a013-96b1-4c5b-87b8-77524efd1c11,1,,,3,,12345678902,BAC20240002,,,Candidat Test 02,مرشح تجريبي 02,,Nouakchott,2005-05-20,M,officiel,,,10.60,,Admis,Bien,46,115,350,true,true,2025-06-29 23:25:54.969641,0,0,2025-06-29 23:25:54.956330,
c7477882-62b1-4121-9712-779a2eb3f8f4,1,,,5,,12345678903,BAC20240003,,,Candidat Test 03,مرشح تجريبي 03,,Nouakchott,2005-01-22,F,officiel,,,9.66,,Admis,Très Bien,47,185,530,true,true,2025-06-29 23:25:54.969641,0,0,2025-06-29 23:25:54.956330,
4e5cc8ee-527c-4be0-8567-f59c67f77bee,1,,,9,,12345678904,BAC20240004,,,Candidat Test 04,مرشح تجريبي 04,,Nouakchott,2005-05-17,F,officiel,,,8.96,,Admis,Passable,8,137,398,true,true,2025-06-29 23:25:54.970683,0,0,2025-06-29 23:25:54.956330,
c576d10a-6e6c-47d2-bc1c-5e5b84e07c85,1,,,7,,12345678905,BAC20240005,,,Candidat Test 05,مرشح تجريبي 05,,Nouakchott,2005-06-19,F,officiel,,,16.52,,Passable,Très Bien,13,75,386,true,true,2025-06-29 23:25:54.970683,0,0,2025-06-29 23:25:54.956330,
0232dce0-f8c5-4272-a4e3-7b47eb655635,1,,,13,,12345678907,BAC20240007,,,Candidat Test 07,مرشح تجريبي 07,,Nouakchott,2005-12-06,F,officiel,,,12.38,,Passable,Passable,20,122,877,true,true,2025-06-29 23:25:54.970683,0,0,2025-06-29 23:25:54.956330,
f6b40803-9f21-480e-bcaf-3b5260bfaf72,1,,,8,,12345678908,BAC20240008,,,Candidat Test 08,مرشح تجريبي 08,,Nouakchott,2005-07-28,M,officiel,,,14.26,,Ajourné,Passable,20,7,719,true,true,2025-06-29 23:25:54.970683,0,0,2025-06-29 23:25:54.956330,
bc9cf6b4-87b0-4088-bfc4-91319aab1502,1,,,7,,12345678909,BAC20240009,,,Candidat Test 09,مرشح تجريبي 09,,Nouakchott,2005-12-06,M,officiel,,,12.87,,Admis,,1,140,818,true,true,2025-06-29 23:25:54.970683,0,0,2025-06-29 23:25:54.956330,
c41aac7a-2c5c-4e60-9f2a-b65feebe2026,1,,,9,,12345678910,BAC20240010,,,Candidat Test 10,مرشح تجريبي 10,,Nouakchott,2005-12-09,F,officiel,,,9.14,,Passable,Passable,22,184,673,true,true,2025-06-29 23:25:54.970683,0,0,2025-06-29 23:25:54.956330,
b0962b0d-c5c1-4cb7-a71a-b98fdc782af4,1,,,2,,12345678911,BAC20240011,,,Candidat Test 11,مرشح تجريبي 11,,Nouakchott,2005-10-10,M,officiel,,,15.99,,Ajourné,,26,38,111,true,true,2025-06-29 23:25:54.970683,0,0,2025-06-29 23:25:54.956330,
